,created_date,source,context,annotation
22,2024-02-15,X,"대학에 붙었는데 아무 생각없음.
사실 가기싫고 평생 멍청이 백수로 살고싶음
엉엉 공부하기 싫어요ㅜㅜ","[{'annotator': '', 'emotion': '싫어함(상태)_싫증', 'gender': ''}, {'annotator': '', 'emotion': '두려움_걱정', 'gender': ''}, {'annotator': '', 'emotion': '슬픔_무기력', 'gender': ''}, {'annotator': '', 'emotion': '욕망_욕심', 'gender': ''}, {'annotator': '', 'emotion': '싫어함(상태)_싫증', 'gender': ''}]"
23,2024-02-15,X,"황의조한테 pk 주라고 깝댄 것도 웃긴데 
이것도 어이 없지","[{'annotator': '', 'emotion': '싫어함(상태)_답답함', 'gender': ''}, {'annotator': '', 'emotion': '미움(상대방)_냉담', 'gender': ''}, {'annotator': '', 'emotion': '분노_원망', 'gender': ''}, {'annotator': '', 'emotion': '미움(상대방)_반감', 'gender': ''}, {'annotator': '', 'emotion': '싫어함(상태)_답답함', 'gender': ''}]"
24,2024-02-15,X,그냥 국대 제외 아무도 몰랐어야 할 사실을 알게 돼서 이 꼬락서니 난 게 짜증남,"[{'annotator': '', 'emotion': '분노_불쾌', 'gender': ''}, {'annotator': '', 'emotion': '분노_불쾌', 'gender': ''}, {'annotator': '', 'emotion': '분노_불쾌', 'gender': ''}, {'annotator': '', 'emotion': '분노_날카로움', 'gender': ''}, {'annotator': '', 'emotion': '미움(상대방)_날카로움', 'gender': ''}]"
25,2024-02-07,X,아드님 전역 축하드려요! 건강히 잘 있다 나오는거죠? 우리 석진이한테도 빨리 희망이 보이기를,"[{'annotator': '', 'emotion': '기쁨_공감', 'gender': ''}, {'annotator': '', 'emotion': '사랑_공감', 'gender': ''}, {'annotator': '', 'emotion': '욕망_욕심', 'gender': ''}, {'annotator': '', 'emotion': '기쁨_공감', 'gender': ''}, {'annotator': '', 'emotion': '기쁨_공감', 'gender': ''}]"
26,2024-02-08,X,진지하게 요새 누가 마룬파이브같은걸 24만원주고 보는거임?,"[{'annotator': '', 'emotion': '욕망_궁금함', 'gender': ''}, {'annotator': '', 'emotion': '싫어함(상태)_싫증', 'gender': ''}, {'annotator': '', 'emotion': '욕망_궁금함', 'gender': ''}, {'annotator': '', 'emotion': '싫어함(상태)_궁금함', 'gender': ''}, {'annotator': '', 'emotion': '분노_사나움', 'gender': ''}]"
27,2024-02-12,X,"아니 점심장사만 한다고? 이시간네 만석이라고? 정말 여기는 뭐야 이렇게 인기인데
핸드메이드 칼국수야
젼나 맛있는데 사장님이 적당히 맛있다고
그정도는 아니라고 남겨달래 ㅋㅋㅋㅋㅋㅋㅋㅋ","[{'annotator': '', 'emotion': '기쁨_만족감', 'gender': ''}, {'annotator': '', 'emotion': '기쁨_자랑스러움', 'gender': ''}, {'annotator': '', 'emotion': '기쁨_만족감', 'gender': ''}, {'annotator': '', 'emotion': '기쁨_만족감', 'gender': ''}, {'annotator': '', 'emotion': '기쁨_만족감', 'gender': ''}]"
28,2024-02-13,X,게임을 왜 하는 거지...? 스트레스 받는데…,"[{'annotator': '', 'emotion': '분노_발열', 'gender': ''}, {'annotator': '', 'emotion': '분노_불쾌', 'gender': ''}, {'annotator': '', 'emotion': '싫어함(상태)_궁금함', 'gender': ''}, {'annotator': '', 'emotion': '두려움_놀람', 'gender': ''}, {'annotator': '', 'emotion': '분노_발열', 'gender': ''}]"
29,2024-02-07,X,"이렇게까지 재밌을줄은 몰랐음
헉 엠씨 없이 진행하나??
했는데 둘의 티키타카가 미쳤음","[{'annotator': '', 'emotion': '기쁨_즐거움', 'gender': ''}, {'annotator': '', 'emotion': '기쁨_만족감', 'gender': ''}, {'annotator': '', 'emotion': '기쁨_즐거움', 'gender': ''}, {'annotator': '', 'emotion': '기쁨_즐거움', 'gender': ''}, {'annotator': '', 'emotion': '기쁨_즐거움', 'gender': ''}]"
30,2024-02-11,X,"개듣보브랜드 싸가지봐라….
그냥 올리브영 없애고 에뛰드 이니스프리 미샤
부활시켜서 로드샵전성기로 돌아가야 정신차리지?","[{'annotator': '', 'emotion': '분노_불쾌', 'gender': ''}, {'annotator': '', 'emotion': '분노_원망', 'gender': ''}, {'annotator': '', 'emotion': '분노_불쾌', 'gender': ''}, {'annotator': '', 'emotion': '분노_날카로움', 'gender': ''}, {'annotator': '', 'emotion': '분노_타오름', 'gender': ''}]"
31,2024-02-14,X,설탕 스틱 껴준거 센스 백점 만점에 천점,"[{'annotator': '', 'emotion': '기쁨_감동', 'gender': ''}, {'annotator': '', 'emotion': '기쁨_고마움', 'gender': ''}, {'annotator': '', 'emotion': '기쁨_만족감', 'gender': ''}, {'annotator': '', 'emotion': '기쁨_감동', 'gender': ''}, {'annotator': '', 'emotion': '기쁨_감동', 'gender': ''}]"
32,2024-02-15,X,애두라 올리브영 가면 아거 무조건 사모거야대 넘모 마싯다,"[{'annotator': '', 'emotion': '기쁨_만족감', 'gender': ''}, {'annotator': '', 'emotion': '기쁨_만족감', 'gender': ''}, {'annotator': '', 'emotion': '기쁨_만족감', 'gender': ''}, {'annotator': '', 'emotion': '기쁨_만족감', 'gender': ''}, {'annotator': '', 'emotion': '기쁨_만족감', 'gender': ''}]"
33,2024-02-07,X,찾아보니 올리브영이다. 향수에도 학벌 마케팅을 하는 그 수준이 조금 안타깝다. ,"[{'annotator': '', 'emotion': '미움(상대방)_냉담', 'gender': ''}, {'annotator': '', 'emotion': '미움(상대방)_경멸', 'gender': ''}, {'annotator': '', 'emotion': '분노_반감', 'gender': ''}, {'annotator': '', 'emotion': '미움(상대방)_경멸', 'gender': ''}, {'annotator': '', 'emotion': '미움(상대방)_냉담', 'gender': ''}]"
34,2024-02-14,X,말이대는소리를 하세요 님들아 라벨에 샤워젤리라고 떡하니 써놨는데 이걸왜모르겠냐고 걍 저사람이 개빡대가리인거지,"[{'annotator': '', 'emotion': '미움(상대방)_경멸', 'gender': ''}, {'annotator': '', 'emotion': '분노_경멸', 'gender': ''}, {'annotator': '', 'emotion': '싫어함(상태)_답답함', 'gender': ''}, {'annotator': '', 'emotion': '싫어함(상태)_답답함', 'gender': ''}, {'annotator': '', 'emotion': '미움(상대방)_경멸', 'gender': ''}]"
35,2024-02-10,X,혼을 실어 넘기고 볼륨넣고 한올한올 컬줘서 고정시킨 풍성금발에 빡센이목구비랑 피어싱까지 백사자스타일링 이 날 진짜 아름답다,"[{'annotator': '', 'emotion': '사랑_매력적', 'gender': ''}, {'annotator': '', 'emotion': '사랑_매력적', 'gender': ''}, {'annotator': '', 'emotion': '사랑_매력적', 'gender': ''}, {'annotator': '', 'emotion': '사랑_매력적', 'gender': ''}, {'annotator': '', 'emotion': '사랑_매력적', 'gender': ''}]"
36,2024-02-14,X,이런 미친 유퀴즈 강지영???? 이렇게 깜짝 선물을 들고 와주신다고요???!!!!!!!!!!!!!,"[{'annotator': '', 'emotion': '기쁨_반가움', 'gender': ''}, {'annotator': '', 'emotion': '기쁨_놀람', 'gender': ''}, {'annotator': '', 'emotion': '기쁨_반가움', 'gender': ''}, {'annotator': '', 'emotion': '기쁨_놀람', 'gender': ''}, {'annotator': '', 'emotion': '기쁨_반가움', 'gender': ''}]"
37,2024-02-14,X,"난 이걸 프로씬에서 볼줄 몰랐어 그 무지게맛 유툽에서나 봤었지...
이걸 해내는 미친듀오들아.... 도대체 얼마나 합이 잘 맞는거야","[{'annotator': '', 'emotion': '두려움_놀람', 'gender': ''}, {'annotator': '', 'emotion': '기쁨_감동', 'gender': ''}, {'annotator': '', 'emotion': '기쁨_자랑스러움', 'gender': ''}, {'annotator': '', 'emotion': '두려움_놀람', 'gender': ''}, {'annotator': '', 'emotion': '기쁨_만족감', 'gender': ''}]"
38,2024-02-14,X,"이집트 즐겁게 여행하다가 오늘 하룻동안 미친 사기꾼들 3명 만나서 
영어로 뭐라뭐라 하다가 안돼서 한국어로 욕 함…… ","[{'annotator': '', 'emotion': '분노_발열', 'gender': ''}, {'annotator': '', 'emotion': '분노_사나움', 'gender': ''}, {'annotator': '', 'emotion': '분노_불쾌', 'gender': ''}, {'annotator': '', 'emotion': '싫어함(상태)_난처함', 'gender': ''}, {'annotator': '', 'emotion': '분노_타오름', 'gender': ''}]"
39,2024-02-15,X,가면 쓴 사람의 의상이 일본군 제복에서 바뀌었네요 옛날처럼 일본내 성적만 올리면 그만이던 시대는 지나갔고 한국과 중국에서 개봉하고 싶다면 당연히 이랬어야 한다고 봐요,"[{'annotator': '', 'emotion': '중립_만족감', 'gender': ''}, {'annotator': '', 'emotion': '분노_날카로움', 'gender': ''}, {'annotator': '', 'emotion': '중립_만족감', 'gender': ''}, {'annotator': '', 'emotion': '중립_만족감', 'gender': ''}, {'annotator': '', 'emotion': '기쁨_만족감', 'gender': ''}]"
40,2024-02-15,X,아 잠만 진짜 마지막에웃는거너무너무너무너무사랑스러워 미친.........ㅠ,"[{'annotator': '', 'emotion': '사랑_매력적', 'gender': ''}, {'annotator': '', 'emotion': '사랑_호감', 'gender': ''}, {'annotator': '', 'emotion': '사랑_두근거림', 'gender': ''}, {'annotator': '', 'emotion': '사랑_아른거림', 'gender': ''}, {'annotator': '', 'emotion': '사랑_매력적', 'gender': ''}]"
41,2024-02-15,X,아니미친ㅋㅋㅋㅋㅋㅋㅋ 이건 볼 때 마다 개웃기네 진짜,"[{'annotator': '', 'emotion': '기쁨_즐거움', 'gender': ''}, {'annotator': '', 'emotion': '기쁨_통쾌함', 'gender': ''}, {'annotator': '', 'emotion': '기쁨_즐거움', 'gender': ''}, {'annotator': '', 'emotion': '기쁨_즐거움', 'gender': ''}, {'annotator': '', 'emotion': '기쁨_통쾌함', 'gender': ''}]"
42,2024-02-15,X,"초대박 귀여운 강아디도 있음 우리 자리 와서 인사도 해줌 .. 🥹
좌석이 약간 당황스러운 것 말고 다 좋았던 카페","[{'annotator': '', 'emotion': '기쁨_만족감', 'gender': ''}, {'annotator': '', 'emotion': '기쁨_만족감', 'gender': ''}, {'annotator': '', 'emotion': '기쁨_만족감', 'gender': ''}, {'annotator': '', 'emotion': '기쁨_만족감', 'gender': ''}, {'annotator': '', 'emotion': '사랑_두근거림', 'gender': ''}]"
43,2024-02-12,X,애슐리 딸기축제 나름 괜춘하다,"[{'annotator': '', 'emotion': '기쁨_만족감', 'gender': ''}, {'annotator': '', 'emotion': '기쁨_만족감', 'gender': ''}, {'annotator': '', 'emotion': '기쁨_만족감', 'gender': ''}, {'annotator': '', 'emotion': '기쁨_만족감', 'gender': ''}, {'annotator': '', 'emotion': '기쁨_만족감', 'gender': ''}]"
44,2024-02-08,X,"얘들아 딸기축제인가 딸기장례식인가는 뭐 가지마라
어우 별로를 넘어서 아깝다 그냥","[{'annotator': '', 'emotion': '욕망_불만', 'gender': ''}, {'annotator': '', 'emotion': '싫어함(상태)_아쉬움', 'gender': ''}, {'annotator': '', 'emotion': '욕망_불만', 'gender': ''}, {'annotator': '', 'emotion': '욕망_불만', 'gender': ''}, {'annotator': '', 'emotion': '욕망_불만', 'gender': ''}]"
45,2024-02-12,X,살인자ㅇ난감 살인장면중 가장 새롭고 신선한 연출이라 감독님이 말한 팝하다는 연출 뭔지 알꺼 같았음 살인장면에서 볼수 없는 노래와 색감 잔인하지 않아 더 잔혹하게 보이는 효과까지,"[{'annotator': '', 'emotion': '기쁨_공감', 'gender': ''}, {'annotator': '', 'emotion': '중립_만족감', 'gender': ''}, {'annotator': '', 'emotion': '두려움_놀람', 'gender': ''}, {'annotator': '', 'emotion': '중립_공감', 'gender': ''}, {'annotator': '', 'emotion': '중립_공감', 'gender': ''}]"
46,2024-02-13,X,팀장이 하루종일 콧노래 부르는데 그를 죽여버리고 싶음 미친새끼 아니냐 여기가 코노냐고 그럼 돈내고 하라고,"[{'annotator': '', 'emotion': '미움(상대방)_경멸', 'gender': ''}, {'annotator': '', 'emotion': '욕망_불만', 'gender': ''}, {'annotator': '', 'emotion': '미움(상대방)_반감', 'gender': ''}, {'annotator': '', 'emotion': '분노_타오름', 'gender': ''}, {'annotator': '', 'emotion': '미움(상대방)_경멸', 'gender': ''}]"
47,2024-02-15,X,"설에 조카 만났는데 넘 속상하다
우리 조카는 5살 여자아인데, 멋지고 씩씩한걸 좋아한다 공주 같은걸 너무너무 싫어해서 옷이나 머리 묶은게 공주 같으면 싫다고 운다","[{'annotator': '', 'emotion': '슬픔_실망', 'gender': ''}, {'annotator': '', 'emotion': '슬픔_실망', 'gender': ''}, {'annotator': '', 'emotion': '슬픔_실망', 'gender': ''}, {'annotator': '', 'emotion': '슬픔_실망', 'gender': ''}, {'annotator': '', 'emotion': '욕망_아쉬움', 'gender': ''}]"
48,2024-02-15,X,우리동네 설빙 아이스크림양 개혜자스러움,"[{'annotator': '', 'emotion': '기쁨_만족감', 'gender': ''}, {'annotator': '', 'emotion': '기쁨_자랑스러움', 'gender': ''}, {'annotator': '', 'emotion': '기쁨_만족감', 'gender': ''}, {'annotator': '', 'emotion': '기쁨_만족감', 'gender': ''}, {'annotator': '', 'emotion': '기쁨_만족감', 'gender': ''}]"
49,2024-02-15,X,요새 스트레스 받고 힘들어서 헛소리 같아  다들 걱정 시켜서 미안해…,"[{'annotator': '', 'emotion': '수치심_미안함', 'gender': ''}, {'annotator': '', 'emotion': '싫어함(상태)_고통', 'gender': ''}, {'annotator': '', 'emotion': '슬픔_수치심', 'gender': ''}, {'annotator': '', 'emotion': '수치심_미안함', 'gender': ''}, {'annotator': '', 'emotion': '수치심_미안함', 'gender': ''}]"
50,2024-02-14,X,"스트레스 받지 말그!
저희 집 고양이 보고 힐링하세요...♡","[{'annotator': '', 'emotion': '사랑_다정함', 'gender': ''}, {'annotator': '', 'emotion': '기쁨_자랑스러움', 'gender': ''}, {'annotator': '', 'emotion': '기쁨_안정감', 'gender': ''}, {'annotator': '', 'emotion': '사랑_다정함', 'gender': ''}, {'annotator': '', 'emotion': '사랑_다정함', 'gender': ''}]"
51,2024-02-15,X,나는 결백하다(1955) 이거는 진짜 최고의영화임 이 영화 안 보고 로맨스영화 봣다고 하면안된다고 생각합니다 저는,"[{'annotator': '', 'emotion': '기쁨_자랑스러움', 'gender': ''}, {'annotator': '', 'emotion': '기쁨_감동', 'gender': ''}, {'annotator': '', 'emotion': '기쁨_자랑스러움', 'gender': ''}, {'annotator': '', 'emotion': '기쁨_자랑스러움', 'gender': ''}, {'annotator': '', 'emotion': '기쁨_자랑스러움', 'gender': ''}]"
52,2024-02-15,X,핸드폰 바꿨는데.. 어찌나 전뇌이식이 잘되는지 이전 폰에서 듣던 음악 멈춰둔 부분까지 살려놔서 새로 산 기분이 전혀 안남..,"[{'annotator': '', 'emotion': '욕망_불만', 'gender': ''}, {'annotator': '', 'emotion': '욕망_아쉬움', 'gender': ''}, {'annotator': '', 'emotion': '욕망_불만', 'gender': ''}, {'annotator': '', 'emotion': '욕망_불만', 'gender': ''}, {'annotator': '', 'emotion': '슬픔_허망', 'gender': ''}]"
53,2024-02-15,X,편의점 초콜릿 중 가장 맛있는 초콜릿이라고 생각하오. 입에 넣자마자 기분 좋아지는 맛이오. ,"[{'annotator': '', 'emotion': '기쁨_만족감', 'gender': ''}, {'annotator': '', 'emotion': '기쁨_즐거움', 'gender': ''}, {'annotator': '', 'emotion': '기쁨_만족감', 'gender': ''}, {'annotator': '', 'emotion': '기쁨_만족감', 'gender': ''}, {'annotator': '', 'emotion': '기쁨_감동', 'gender': ''}]"
54,2024-02-14,X,책보다가 뺨 맞은 기분은 처음이군요....ㅋㅋㅋㅋㅋㅋ,"[{'annotator': '', 'emotion': '중립_놀람', 'gender': ''}, {'annotator': '', 'emotion': '수치심_부끄러움', 'gender': ''}, {'annotator': '', 'emotion': '중립_놀람', 'gender': ''}, {'annotator': '', 'emotion': '기쁨_통쾌함', 'gender': ''}, {'annotator': '', 'emotion': '두려움_놀람', 'gender': ''}]"
55,2024-02-14,X,"물가 미친거 맞음
살림을 하는 하거나 장을 봐본 사람들은 알어 시장이건 마트건 무서워서 물건을 못집음 일단 매대의 가격부터 확인하고 그 다음에 고민하고  정말 물건 5개 살꺼 2개만 삼","[{'annotator': '', 'emotion': '욕망_불만', 'gender': ''}, {'annotator': '', 'emotion': '두려움_걱정', 'gender': ''}, {'annotator': '', 'emotion': '두려움_걱정', 'gender': ''}, {'annotator': '', 'emotion': '욕망_불만', 'gender': ''}, {'annotator': '', 'emotion': '싫어함(상태)_불편함', 'gender': ''}]"
56,2024-02-14,X,내가 제일 싫어하고 무서워하는 년들.. 속으로는 나 싫어하면서 친하게는 지내려고하고 좋아하는 척하는 애들.. 나는 걔가 너무 무서워서 똑같이 걔를 좋아하는 척 할수밖에 없음 최선을다해..,"[{'annotator': '', 'emotion': '미움(상대방)_경멸', 'gender': ''}, {'annotator': '', 'emotion': '두려움_난처함', 'gender': ''}, {'annotator': '', 'emotion': '두려움_위축감', 'gender': ''}, {'annotator': '', 'emotion': '미움(상대방)_경멸', 'gender': ''}, {'annotator': '', 'emotion': '두려움_공포', 'gender': ''}]"
